chrom	start	end	z_den_afr	div_den_afr	category	n_nea_shared	nea_detail	exc_alt_afr	exc_vin_afr	exc_chag_afr	z_den_alt	z_den_vin	z_den_chag	mean_map20	mean_rm	mean_ur	callable_frac_den
21	21840000	21860000	6.43281	0.00540294	3	0	alt:denonly;vin:denonly;chag:denonly	-0.314107	-0.538731	-0.282762	7.81113	7.9559	7.79642	0.912281	0.315789	0	0.6448
22	49420000	49440000	4.46397	0.00444122	3	0	alt:ambig;vin:ambig;chag:ambig	1.95864	2.41588	2.33615	1.90586	1.61329	1.51766	0.922559	0.264706	0	0.69195
22	49680000	49700000	4.40338	0.00440017	3	0	alt:denonly;vin:denonly;chag:ambig	-0.0952423	-0.165666	-0.357207	2.1145	2.09682	1.88722		0.453125	0	0.71315
22	22340000	22360000	3.77573	0.0039749	3	0	alt:denonly;vin:denonly;chag:denonly	-6.25373	-6.60416	-6.14215	4.37408	4.46574	4.4111		0	0	0.55175
22	22800000	22820000	3.76737	0.00396923	2	2	alt:shared;vin:ambig;chag:shared	3.34191	1.79729	2.67034	0.185728	-0.51154	-0.0786269		0	0	0.34935
22	22700000	22720000	3.74084	0.00395126	3	0	alt:ambig;vin:ambig;chag:ambig	4.35778	-2.31158	-1.50999	2.47716	1.61318	1.88141		0	0	0.35185
21	43240000	43260000	3.44995	0.00357957	3	0	alt:denonly;vin:denonly;chag:denonly	0.524114	0.656187	0.95936	2.11792	2.33809	2.39105	1	0.189189	0	0.63105
21	36700000	36720000	3.20586	0.00343036	1	3	alt:shared;vin:shared;chag:shared	3.14016	2.71142	2.30328	-0.313449	-0.585971	-0.77347	0.928082	0.407407	0	0.7132
21	25360000	25380000	3.12003	0.00337789	3	0	alt:ambig;vin:ambig;chag:ambig	1.18407	1.43264	0.865486	0.164847	0.111475	0.505711		0.416667	0	0.5527
22	23100000	23120000	3.03781	0.00347491	3	0	alt:ambig;vin:ambig;chag:ambig	2.49743	2.27692	2.06105	3.99079	3.53147	3.32046		0	0	0.31525
