chrom	start	end	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	z_den_afr	p_den_afr	cddr	low_quality
16	8720000	8740000	13165	15226	15061	15145	15121	0.00774782	0.00767186	0.00767186	0.00075959	0.000379795	0.000531713	0.00754621	0.00787246	0.00159138	0.00124725	0.00145728	0.00114956	0.00145268	0.00113143	0.75	0.613636	0	944.5	622	0.65825	0.65825	7.93254	0.000588928	True	False
16	12640000	12660000	12972	15375	15135	15410	15256	0.007786	0.007786	0.00755473	0.00154178	0.00154178	0.00107925	0.00742669	0.0063692	0.00833384	0.00822937	0.00849602	0.00847044	0.00834499	0.00831627	0.902036	0.235294	0	961.529	1834	0.6486	0.6486	7.77665	0.00117786	True	False
16	78080000	78100000	9276	10912	10653	10804	10570	0.00150927	0.00161708	0.00167098	0.000107805	0.000377318	0.000377318	0.00691564	0.00468914	0.00614363	0.00361709	0.00624833	0.00364988	0.00641314	0.00388649	0.782086	0.452632	0	868.974	553	0.4638	0.4638	7.11006	0.00176678	True	False
16	1880000	1900000	7958	9855	9997	9593	9760	0.00816788	0.00791656	0.00804222	0.000753958	0.000879618	0.000251319	0.00672751	0.00689656	0.00225824	0.00221267	0.00196415	0.00193912	0.00204779	0.00204431		0.549738	0		287	0.3979	0.3979	6.86466	0.00235571	True	False
16	12680000	12700000	6700	7816	7861	7826	7713	0.00350746	0.0038806	0.00320896	0.000671642	0.00164179	0.00208955	0.00653319	0.00546619	0.00617604	0.00475082	0.00645028	0.0050799	0.00630212	0.00503778	0.596883	0.8	0	964	710	0.335	0.335	6.61121	0.00294464	True	False
16	5640000	5660000	12003	13946	14083	14112	14140	0.00404066	0.00445722	0.00441556	0.000499875	0.000458219	4.16563e-05	0.00639017	0.00658235	0.00488156	0.00477956	0.00510717	0.0050048	0.00506552	0.00496314	0.817805	0.541667	1	973.037	623	0.60015	0.60015	6.42466	0.00353357	True	False
16	6120000	6140000	10769	12811	13087	13015	12581	0.00520011	0.00515368	0.00538583	0.000464296	0.000464296	0.000882162	0.00625197	0.00589319	0.0035293	0.00404406	0.00353583	0.00405532	0.00383843	0.0043578	0.771645	0.470968	0.974194	986.961	622	0.53845	0.53845	6.2444	0.0041225	True	False
16	12700000	12720000	8403	10037	9945	10163	9958	0.0047602	0.00505772	0.00493871	0.00101154	0.000892538	0.00113055	0.00621154	0.00616624	0.00650374	0.00607394	0.00680125	0.00637145	0.00668224	0.00625245	0.782338	0.649635	0	968.73	813	0.42015	0.42015	6.19167	0.00471143	True	False
16	12520000	12540000	10445	12335	12449	12186	12332	0.00516994	0.00512207	0.00516994	0.000526568	0.000526568	0.000335089	0.00594286	0.00576636	0.00284107	0.00293405	0.00294811	0.0029942	0.0030324	0.00312553	0.775298	0.6	1	952	500	0.52225	0.52225	5.84121	0.00530035	True	False
16	78380000	78400000	11358	13464	13313	13563	13039	0.00105652	0.00114457	0.00105652	0.000264131	0.000176087	0.000264131	0.00574832	0.00524622	0.00518262	0.00455726	0.00526979	0.00461292	0.00518262	0.00455726	0.841667	0.366667	0	948.033	671	0.5679	0.5679	5.58746	0.00588928	True	False
16	83120000	83140000	12557	15072	15025	15103	14407	0.00167237	0.00147328	0.00163256	0.000398184	0.000438003	0.000159274	0.00564712	0.00579084	0.0055907	0.00571414	0.00539148	0.00551505	0.00555075	0.00567433	0.810417	0.520661	1	975.628	727	0.62785	0.62785	5.45546	0.00647821	True	False
16	79260000	79280000	9150	10799	10699	10878	10715	0.000819672	0.000874317	0.00103825	0.000382514	0.000655738	0.000382514	0.0056366	0.00544581	0.00547166	0.00528188	0.00552656	0.00533652	0.00569074	0.00550046	0.699725	0.483607	0.491803	964.198	422	0.4575	0.4575	5.44174	0.00706714	True	False
16	8700000	8720000	9582	11896	11895	11531	11610	0.00537466	0.00532248	0.00547902	0.000469631	0.000104362	0.000573993	0.00548345	0.00523159	0.00129758	0.00125693	0.00136255	0.00136056	0.00140194	0.00136129	0.643678	0.670455	0	955.023	396	0.4791	0.4791	5.24197	0.00765607	True	False
16	7420000	7440000	12503	14588	14626	14894	14925	0.00447893	0.00439894	0.00447893	7.99808e-05	0.000159962	7.99808e-05	0.00544933	0.00564563	0.00237468	0.00236707	0.0022947	0.00228709	0.00237468	0.00236707	0.718225	0.435714	0	948.079	696	0.62515	0.62515	5.19747	0.00824499	True	False
16	12660000	12680000	12288	14733	14659	14874	14560	0.00598145	0.00590007	0.00610352	0.000895182	0.000854492	0.000935872	0.00544741	0.00555495	0.00612654	0.00622211	0.00608394	0.0062095	0.00624861	0.00634418	0.830713	0.554878	0	956.317	1513	0.6144	0.6144	5.19497	0.00883392	True	False
16	7000000	7020000	9736	11458	11129	11260	11460	0.00364626	0.00390304	0.0039544	0.000359491	0.000410846	0.000462202	0.00533024	0.00528317	0.00448527	0.00448436	0.00474201	0.00474114	0.00479341	0.00479249	0.671474	0.562874	0	983.521	761	0.4868	0.4868	5.04213	0.00942285	True	False
16	81180000	81200000	9453	11119	11310	11226	11267	0.00602983	0.00576537	0.00560669	0.00174548	0.0015868	0.00148101	0.0053102	0.00520366	0.00441682	0.00462202	0.00451767	0.00472773	0.00436218	0.00456905	0.653392	0.632479	0	946.41	498	0.47265	0.47265	5.01599	0.0100118	True	False
16	84020000	84040000	13076	15283	15550	15265	15945	0.00321199	0.00336494	0.00328847	0.00038238	0.000535332	0.000305904	0.00529612	0.00436916	0.00468999	0.00367562	0.00477717	0.00381588	0.00470128	0.00374153	0.918919	0.382609	0	944.07	1065	0.6538	0.6538	4.99763	0.0106007	True	False
16	8740000	8760000	10500	12137	12478	12402	12353	0.0062381	0.00628571	0.00628571	0.00052381	0.000142857	0.000380952	0.00527206	0.00501246	0.0025066	0.00229013	0.00256287	0.00235971	0.00255106	0.00231484	0.679487	0.639535	0	968.465	442	0.525	0.525	4.96625	0.0111896	True	False
