chrom	start	end	n_pol	n_der_any	pat_den_only	pat_nea_all	pat_nea_any	pat_all_arch	pat_alt_only	pat_vin_only	pat_chag_only	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	anc_valid_bp	hum_sub	sub_rate	repeat_frac	R_den_afr	R_alt_afr	R_vin_afr	R_chag_afr	R_nea_afr	f_nea_all	f_den_only	f_all_arch	f_alt_only	f_vin_only	f_chag_only	z_den_afr	p_den_afr	cddr	low_quality
15	24820000	24840000	306	199	0	0	3	1	3	0	0	8408	9899	10088	10162	9960	0.00041627	0.000297336	0.000237869	0.000356803	0.000297336	5.94672e-05	0.00876852	0.00849329	0.00911739	0.00883343	0.00906476	0.00877693	0.00900529	0.00871746	0.748485	0.682081	0		310	0.4204	0.4204	8299	43	0.00518135	0.66505	1.69232	1.75965	1.7495	1.73802	1.74906	0	0	0.00502513	0.0150754	0	0	12.6421	0.000558659	True	False
15	91620000	91640000	256	153	3	2	2	2	0	0	0	7634	8964	8917	8962	9002	0.000785958	0.000785958	0.000785958	0	0	0	0.00581983	0.00614887	0.00578179	0.00613533	0.00578179	0.00613533	0.00578179	0.00613533	0.654297	0.790698	0	915.341	257	0.3817	0.3817	7547	56	0.00742017	0.83535	0.784326	0.779199	0.779199	0.779199	0.779199	0.0130719	0.0196078	0.0130719	0	0	0	7.65445	0.00111732	True	False
15	98600000	98620000	393	230	6	2	2	0	0	0	0	11216	13622	13755	13628	13604	0.00690977	0.00686519	0.00690977	0.000133738	8.91583e-05	0.000178317	0.0056709	0.0064506	0.00221389	0.00119434	0.00219959	0.00119815	0.00224417	0.00124272	0.880385	0.593333	0	980.667	412	0.5608	0.5608	10518	67	0.00637003	0.62735	0.890247	0.347548	0.345303	0.352301	0.348384	0.00869565	0.026087	0	0	0	0	7.40253	0.00167598	True	False
15	24260000	24280000	308	185	0	0	0	0	0	0	0	9419	11294	11113	11246	11107	0.00477758	0.00477758	0.0053615	0.000106168	0.00111477	0.00111477	0.00541451	0.00541723	0.00207516	0.00192843	0.00207516	0.00192843	0.00186068	0.00170796		0	0		320	0.47095	0.47095	9336	115	0.0123179	0.80175	0.439565	0.168467	0.168467	0.151055	0.162663	0	0	0	0	0	0	6.96886	0.00223464	True	False
15	57900000	57920000	467	258	4	0	1	0	1	0	0	12839	15112	15132	14995	14942	0.00564686	0.00560791	0.00494587	0.000116832	0.00109043	0.000973596	0.00532686	0.00570374	0.00180284	0.00158353	0.00172619	0.00150704	0.00191205	0.00194414	0.775333	0.492308	1	827.12	475	0.64195	0.64195	12083	76	0.00628983	0.3773	0.8469	0.286627	0.274441	0.303991	0.288353	0	0.0155039	0	0.00387597	0	0	6.82059	0.0027933	True	False
15	94460000	94480000	345	171	6	0	8	0	1	0	0	11622	14151	13900	14188	13544	0.00494751	0.00292549	0.00262433	0.00253829	0.00245225	0.00249527	0.0047995	0.00481438	0.000782585	0.000857469	0.00276953	0.00281441	0.00246838	0.00251326	0.830275	0.605505	1	969.798	350	0.5811	0.5811	11507	91	0.00790823	0.55155	0.6069	0.0989583	0.350209	0.312128	0.253765	0	0.0350877	0	0.00584795	0	0	5.92858	0.00335196	True	False
15	24220000	24240000	343	200	2	0	1	0	1	0	0	9070	10551	10496	10555	10423	0.00523705	0.00523705	0.00507166	0.000882029	0.000716648	0.00016538	0.00476294	0.00482186	0.00379623	0.00338219	0.00384212	0.00347251	0.00367674	0.00330713		0	0		362	0.4535	0.4535	9003	97	0.0107742	0.89435	0.442069	0.352344	0.356603	0.341254	0.350067	0	0.01	0	0.005	0	0	5.86674	0.00391061	True	False
15	29500000	29520000	279	149	3	1	2	0	1	0	0	6550	7828	8064	7732	7866	0.000610687	0.000534351	0.000534351	7.63359e-05	7.63359e-05	0	0.00467829	0.00474427	0.00452562	0.0045916	0.00444928	0.00451527	0.00444928	0.00451527	0.572049	0.639175	0	958	282	0.3275	0.3275	6458	71	0.0109941	0.6433	0.425527	0.411641	0.404697	0.404697	0.407012	0.00671141	0.0201342	0	0.00671141	0	0	5.72355	0.00446927	True	False
15	95840000	95860000	384	222	5	5	6	0	1	0	0	11929	13870	13896	14076	14199	0.00590997	0.00586805	0.00590997	0.000167659	0.000167659	4.19147e-05	0.00467084	0.00547996	0.0022401	0.00155384	0.00219819	0.00151193	0.0022401	0.00155384	0.73694	0.492754	1	987.145	388	0.59645	0.59645	11828	90	0.00760906	0.39575	0.613852	0.2944	0.288891	0.2944	0.292563	0.0225225	0.0225225	0	0.0045045	0	0	5.71094	0.00502793	True	False
15	55000000	55020000	409	226	1	0	6	0	0	0	0	11487	13291	13231	13129	13381	0.0049186	0.00513624	0.00034822	0.000217637	0.0049186	0.00513624	0.00451526	0.00448093	0.00129919	0.00112003	0.00151657	0.00133767	0.00451512	0.00447539	0.882959	0.617978	0	853.697	414	0.57435	0.57435	11316	89	0.00786497	0.6441	0.574098	0.165187	0.192825	0.57408	0.310697	0	0.00442478	0	0	0	0	5.44779	0.00558659	True	False
