chrom	start	end	n_pol	n_der_any	pat_den_only	pat_nea_all	pat_nea_any	pat_all_arch	pat_alt_only	pat_vin_only	pat_chag_only	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	anc_valid_bp	hum_sub	sub_rate	repeat_frac	R_den_afr	R_alt_afr	R_vin_afr	R_chag_afr	R_nea_afr	f_nea_all	f_den_only	f_all_arch	f_alt_only	f_vin_only	f_chag_only	z_den_afr	p_den_afr	cddr	low_quality
6	32580000	32600000	661	595	31	0	3	2	3	0	0	7758	10438	11536	11819	9894	0.0251353	0.0254898	0.0264566	0.0205916	0.0188515	0.0184648	0.0245719	0.0245153	0.0197562	0.0189323	0.0194461	0.0206761	0.0201129	0.0203845	0.785653	0.589286	0		668	0.3879	0.3879	7630	85	0.0111402	0.62195	2.2057	1.77342	1.74558	1.80543	1.77481	0	0.0521008	0.00336134	0.00504202	0	0	42.1448	0.000251193	True	False
6	32660000	32680000	380	310	3	0	0	0	0	0	0	7743	9432	9727	9505	9301	0.0124306	0.0141418	0.0119463	0.0111391	0.0139481	0.0115588	0.0149821	0.0146808	0.0115087	0.0113511	0.0125269	0.0124491	0.0132728	0.0128721		0.682785	0	940	422	0.38715	0.38715	4912	51	0.0103827	0.6861	1.44298	1.10845	1.20651	1.27836	1.19777	0	0.00967742	0	0	0	0	24.7973	0.000502386	True	False
6	33020000	33040000	426	351	0	0	1	2	0	0	0	9246	11227	10889	11608	11354	0.0122215	0.0122756	0.0123297	0.0122756	0.0123297	0.0122756	0.0144909	0.0135385	0.0144711	0.013641	0.0144929	0.0134227	0.0145542	0.0133811	0.917071	0.545673	0	869.029	530	0.4623	0.4623	7178	113	0.0157425	0.64155	0.920498	0.919235	0.920622	0.924516	0.921458	0	0	0.00569801	0	0	0	23.9089	0.00075358	True	False
6	32680000	32700000	465	360	1	0	3	0	3	0	0	9236	14087	12181	12001	11198	0.0188123	0.0196514	0.0193265	0.00655045	0.00725422	0.00246319	0.0133295	0.0154478	0.01177	0.00954694	0.0127826	0.00898413	0.0130933	0.00928492		0.701299	0	940	487	0.4618	0.4618	8488	108	0.0127238	0.5875	1.0476	0.925041	1.00462	1.02904	0.986236	0	0.00277778	0	0.00833333	0	0	21.8079	0.00100477	True	False
6	32360000	32380000	612	486	0	0	4	0	4	0	0	12766	14681	14823	14991	15010	0.00861664	0.00967413	0.00838164	0.00352499	0.00168416	0.00305499	0.00953477	0.00947605	0.00330037	0.00330164	0.00445631	0.00443962	0.00321396	0.00316345		0.223565	0		625	0.6383	0.6383	8642	63	0.00728998	0.2628	1.30793	0.452727	0.611293	0.440873	0.501631	0	0	0	0.00823045	0	0	14.9435	0.00125597	True	False
6	32700000	32720000	284	210	5	0	6	0	6	0	0	8763	11111	11139	10901	10843	0.0109266	0.0122104	0.011754	0.0053064	0.004907	0.000741755	0.00910236	0.0102623	0.00773942	0.00625525	0.00839541	0.00549466	0.00798038	0.00509831		0.442748	0	940	401	0.43815	0.43815	5463	46	0.00842028	0.4456	1.081	0.91914	0.997047	0.947757	0.954648	0	0.0238095	0	0.0285714	0	0	14.1613	0.00150716	True	False
6	31240000	31260000	360	284	2	0	3	0	3	0	0	7044	8227	8378	8411	8348	0.0088728	0.00901476	0.00731119	0.00432993	0.00865985	0.00865985	0.00906171	0.00934252	0.0050774	0.00527739	0.00457409	0.00453959	0.00864689	0.00892438	0.812027	0.340782	0	934	360	0.3522	0.3522	5815	37	0.00636285	0.3724	1.42416	0.797976	0.718875	1.35897	0.958605	0	0.00704225	0	0.0105634	0	0	14.0878	0.00175835	True	False
6	29820000	29840000	179	138	0	0	0	0	0	0	0	7894	9498	9461	9733	9603	0.00931087	0.00946922	0.00874082	0.00734735	0.0050038	0.00756904	0.00903999	0.00872256	0.00769042	0.00870896	0.00829522	0.00880533	0.00742003	0.00771141		0.664537	0		403	0.3947	0.3947	0	0		0.64045						0	0	0	0	0	0	14.0485	0.00200955	True	False
6	31260000	31280000	627	536	0	0	5	0	3	2	0	12492	15175	15274	15147	14798	0.00836535	0.00740474	0.00652418	0.0051633	0.00836535	0.00744476	0.00890084	0.00938044	0.00645482	0.00711595	0.00582878	0.00712874	0.00890133	0.00936827	0.878762	0.536657	0	934	631	0.6246	0.6246	12141	93	0.00766	0.4874	1.16199	0.842666	0.760937	1.16205	0.921885	0	0	0	0.00559701	0.00373134	0	13.7968	0.00226074	True	False
6	31340000	31360000	0	0	0	0	0	0	0	0	0	9041	11166	10991	10998	11295	0.0076872	0.00630461	0.00680234	0.00741068	0.00741068	0.00591749	0.00836653	0.0083688	0.00960097	0.0096749	0.00840021	0.00796532	0.00856589	0.00796071		0	0	934	478	0.45205	0.45205	0	0		0.5551												12.8302	0.00251193	True	False
6	29860000	29880000	201	173	2	2	5	0	3	0	0	6165	7634	7670	7614	7552	0.00965126	0.00847526	0.00725872	0.00924574	0.00632603	0.00725872	0.00811758	0.00823424	0.00823077	0.00838206	0.00774479	0.00848131	0.00543551	0.0059527	0.819129	0.605797	0		249	0.30825	0.30825	0	0		0.64655						0.0115607	0.0115607	0	0.017341	0	0	12.3799	0.00276312	True	False
6	33040000	33060000	141	141	1	0	0	3	0	0	0	11475	14658	14196	14643	13723	0.00601307	0.00742919	0.00751634	0.00738562	0.00747277	0.00631808	0.00770459	0.00683477	0.00773386	0.00689584	0.00724112	0.00705541	0.0072816	0.00708738	0.907692	0.15	0	862.381	593	0.57375	0.57375	0	0		0.1862						0	0.0070922	0.0212766	0	0	0	11.6328	0.00301432	True	False
6	29800000	29820000	224	168	0	0	0	0	0	0	0	8619	10372	10473	10340	9842	0.00928182	0.00826662	0.00704838	0.00313261	0.00423483	0.00466992	0.00728666	0.00618594	0.00620417	0.00755387	0.00549458	0.00658936	0.00551015	0.00548886		0.598901	0		343	0.43095	0.43095	0	0		0.59435						0	0	0	0	0	0	10.8768	0.00326551	True	False
6	33100000	33120000	267	178	0	0	1	1	0	0	0	7159	8436	8960	8774	8666	0.005308	0.00698422	0.00705406	0.00684453	0.00691437	0.00405085	0.00722559	0.00757504	0.00708591	0.00743535	0.00643875	0.00663161	0.00650859	0.00670145		0.783217	0		289	0.35795	0.35795	7072	93	0.0131505	0.695	0.549454	0.538832	0.48962	0.494931	0.507794	0	0	0.00561798	0	0	0	10.7663	0.0035167	True	False
6	29760000	29780000	254	188	1	0	0	0	0	0	0	6240	7624	7616	7555	7456	0.00088141	0.00112179	0.000560897	0.00120192	0.000641026	0.000560897	0.00681715	0.00398153	0.00692516	0.00406612	0.00663083	0.00374465	0.00628413	0.0034251	0.8	0.313433	0		291	0.312	0.312	0	0		0.63425						0	0.00531915	0	0	0	0	10.0275	0.0037679	True	False
6	82680000	82700000	244	139	2	1	1	0	0	0	0	8404	9969	9793	9809	9767	0.000475964	0.000535459	0.000475964	5.94955e-05	0	5.94955e-05	0.00677701	0.00684225	0.00676675	0.00684225	0.00682625	0.00690175	0.00676675	0.00684225	0.739881	0.735714	0	844.3	246	0.4202	0.4202	8326	40	0.00480423	0.7307	1.41063	1.4085	1.42088	1.4085	1.41263	0.00719424	0.0143885	0	0	0	0	9.95488	0.00401909	True	False
6	125920000	125940000	268	147	3	3	4	18	1	0	0	9055	10640	10569	10558	10424	0.00104914	0.000938708	0.00088349	0.000220872	0.000165654	5.52181e-05	0.00653992	0.00638204	0.0067323	0.00654178	0.00682184	0.00664629	0.00676663	0.00659108	0.764286	0.472973	0	807.055	269	0.45275	0.45275	8999	53	0.00588954	0.55125	1.11043	1.14309	1.1583	1.14892	1.15011	0.0204082	0.0204082	0.122449	0.00680272	0	0	9.52601	0.00427028	True	False
6	160860000	160880000	292	165	14	1	2	0	0	0	1	9136	10710	10796	10978	10826	0.00629378	0.00629378	0.00634851	0	5.47285e-05	5.47285e-05	0.00649622	0.00646794	0.000658483	0.000726237	0.000658483	0.000726237	0.000713211	0.000780965	0.958333	0.244604	0	802.619	320	0.4568	0.4568	8504	83	0.00976011	0.19285	0.665589	0.0674668	0.0674668	0.0730741	0.0693359	0.00606061	0.0848485	0	0	0	0.00606061	9.44696	0.00452148	True	False
6	153740000	153760000	425	296	7	0	84	0	83	0	0	8580	10077	10179	10088	10212	0.0112179	0.00576923	0.00594406	0.0106643	0.0107809	0.000174825	0.00593371	0.00608495	0.0111319	0.0112578	0.000807622	0.000909825	0.000982448	0.00108465	0.909873	0.634409	0	969.984	428	0.429	0.429	8376	72	0.00859599	0.586	0.690288	1.29501	0.0939534	0.114291	0.501086	0	0.0236486	0	0.280405	0	0	8.4294	0.00477267	True	False
6	109200000	109220000	254	146	3	0	1	0	1	0	0	9112	11261	11800	11524	10922	0.00592625	0.00581651	0.00592625	0.000109745	0.000219491	0.000109745	0.00589894	0.00595367	0.000458659	0.000292076	0.000348914	0.000182331	0.000458659	0.000292076	0.664046	0.52439	0	658.488	257	0.4556	0.4556	9050	62	0.00685083	0.5451	0.861054	0.0669494	0.0509301	0.0669494	0.0616096	0	0.0205479	0	0.00684932	0	0	8.3665	0.00502386	True	False
6	32720000	32740000	196	125	9	0	4	2	4	0	0	9561	11735	11877	11728	11436	0.00685075	0.00674616	0.00632779	0.00572639	0.00507269	0.00141199	0.00587523	0.00652141	0.00537394	0.00498249	0.00569462	0.00521112	0.00510006	0.00460805	0.844563	0.445833	0	940	354	0.47805	0.47805	6213	53	0.0085305	0.43595	0.688733	0.629967	0.66756	0.597862	0.631796	0	0.072	0.016	0.032	0	0	8.32362	0.00527506	True	False
6	66500000	66520000	436	249	10	1	2	0	1	0	0	11610	13435	13728	13849	13719	0.00516796	0.00525409	0.00529716	0.000172265	0.000215332	4.30663e-05	0.00573984	0.00550199	0.00158664	0.000902024	0.00167029	0.000910069	0.00171336	0.000953135	0.839372	0.493243	0	938.101	440	0.5805	0.5805	11471	98	0.00854328	0.3398	0.671854	0.185718	0.19551	0.200551	0.193926	0.00401606	0.0401606	0	0.00401606	0	0	8.0787	0.00552625	True	False
6	29660000	29680000	345	244	0	0	0	0	0	0	0	9789	11587	11677	11923	11006	0.00291143	0.00296251	0.00541424	0.00311574	0.00301359	0.0027582	0.00549952	0.00520117	0.00476217	0.00449001	0.00468692	0.0043429	0.00399663	0.00367682		0	0		349	0.48945	0.48945	9703	81	0.00834793	0.60435	0.658788	0.570461	0.561447	0.478757	0.536889	0	0	0	0	0	0	7.64398	0.00577744	True	False
6	31080000	31100000	462	303	1	0	2	0	1	1	0	12495	14911	15232	15243	14869	0.00232093	0.0040016	0.00388155	0.00248099	0.00236094	0.00020008	0.00546682	0.00477325	0.00536106	0.00472713	0.00506902	0.00450609	0.0049497	0.0043955	0.797068	0.394495	0	929	465	0.62475	0.62475	12366	82	0.00663109	0.3218	0.824422	0.808473	0.764432	0.746438	0.773115	0	0.00330033	0	0.00330033	0.00330033	0	7.58482	0.00602864	True	False
