chrom	start	end	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	z_den_afr	p_den_afr	cddr	low_quality
21	21200000	21220000	13355	15345	15705	15851	15617	0.00715088	0.00718832	0.00730064	0.000411831	0.000299513	0.000524148	0.00621387	0.0064827	0.00200651	0.00142087	0.00204395	0.00145831	0.00215626	0.00157063	0.846186	0.512195	0	993.302	474	0.66775	0.66775	7.75943	0.00125945	True	False
21	24060000	24080000	8842	10299	10396	10512	10504	0.0065596	0.0066727	0.0066727	0.000113097	0.000113097	0	0.00602822	0.0064234	0.00192869	0.00159056	0.00204179	0.00170365	0.00204179	0.00170365	0.732759	0.653333	1	992.227	292	0.4421	0.4421	7.45571	0.00251889	True	False
21	28800000	28820000	9323	10907	11105	10771	10896	0.00702564	0.000375416	0.00364689	0.00686474	0.003486	0.00337874	0.00601218	0.00662408	0.00198314	0.00143165	0.00585129	0.00646319	0.00386358	0.00389379	0.650243	0.728571	1	968.964	327	0.46615	0.46615	7.42948	0.00377834	True	False
21	21100000	21120000	10044	11225	11421	11306	11271	0.000696933	0.000597372	0.000597372	0.000248905	0.000199124	0.000149343	0.00562911	0.00582155	0.00582824	0.00602067	0.00577845	0.00597089	0.00572867	0.00592111	0.696309	0.620915	0	997.32	390	0.5022	0.5022	6.80281	0.00503778	True	False
21	21840000	21860000	12896	14916	14754	14860	14826	0.00631979	0.00635856	0.00639733	3.87717e-05	7.75434e-05	0.000116315	0.00540294	0.00540871	0.00404808	0.00421283	0.00408686	0.00425161	0.00412563	0.00429038	0.912281	0.315789	0	990.105	498	0.6448	0.6448	6.43281	0.00629723	True	False
21	46260000	46280000	12774	14829	14911	14893	14859	0.00528417	0.00528417	0.00524503	0.00113512	0.00109598	0.000234852	0.00525658	0.00530533	0.00172835	0.00160979	0.00190275	0.00182424	0.00186361	0.00178525	0.785156	0.326241	1	952	576	0.6387	0.6387	6.19339	0.00755668	True	False
21	41200000	41220000	11570	13871	13865	13897	13484	0.00177182	0.00177182	0.00181504	0.000432152	0.000432152	4.32152e-05	0.00518711	0.00556238	0.00546657	0.00566542	0.00551384	0.00578397	0.00555705	0.00582718	0.827381	0.56962	0.449367	961.576	432	0.5785	0.5785	6.07974	0.00881612	True	False
21	22420000	22440000	11196	12930	14303	14192	14247	0.00410861	0.00424259	0.00442122	0.000312612	0.000491247	0.000267953	0.00516059	0.00543248	0.00346722	0.0037973	0.0036012	0.00393128	0.00377983	0.00410991	0.834734	0.308943	0	990.78	391	0.5598	0.5598	6.03636	0.0100756	True	False
21	20440000	20460000	7639	8837	8896	8904	8957	0.00497447	0.00327268	0.00412358	0.00693808	0.00346904	0.00359995	0.00508574	0.00535717	0.00158502	0.00086671	0.00630321	0.00683218	0.00394412	0.00384944	0.696078	0.775701	0	988.224	279	0.38195	0.38195	5.91391	0.011335	True	False
21	32280000	32300000	13174	15287	15311	15214	15153	0.00197358	0.00170791	0.00166996	0.000493396	0.000607257	0.000189768	0.00498719	0.00514572	0.00425137	0.00439058	0.00458077	0.00473216	0.00469073	0.00484602	0.888614	0.392157	1	934.127	388	0.6587	0.6587	5.75269	0.0125945	True	False
21	19280000	19300000	9288	10801	10875	10927	10725	0.00349914	0.00349914	0.0036068	0.000430663	0.000107666	0.000538329	0.00487606	0.00481091	0.00249599	0.00238629	0.00228245	0.00217096	0.00260366	0.00249396	0.614062	0.792683	1	974.47	275	0.4644	0.4644	5.57088	0.0138539	True	False
21	43840000	43860000	13338	16050	15823	15982	15988	0.00483581	0.00491078	0.00491078	7.49738e-05	0.000149948	0.000149948	0.00474196	0.00478688	0.00104631	0.000862048	0.00112061	0.000925251	0.00112078	0.000918991	0.957944	0.345794	1	943.084	477	0.6669	0.6669	5.35152	0.0151134	True	False
21	25400000	25420000	12537	14732	14769	14613	14490	0.000598229	0.000598229	0.000438701	0.000319056	0.000159528	0.000159528	0.00471753	0.00439848	0.00491694	0.00459789	0.00491688	0.00459789	0.00475741	0.00443836	0.598684	0.365591	0	993.432	459	0.62685	0.62685	5.31155	0.0163728	True	False
