chrom	start	end	anc_valid_bp	hum_sub	repeat_bp	mask_bp	sub_rate	repeat_frac	anc_cov
19	0	20000	0	0	0	0		0	
19	20000	40000	0	0	0	0		0	
19	40000	60000	0	0	0	0		0	
19	60000	80000	0	0	6924	0		0.3462	
19	80000	100000	0	0	9159	0		0.45795	
19	100000	120000	0	0	9050	0		0.4525	
19	120000	140000	0	0	17710	0		0.8855	
19	140000	160000	0	0	13422	0		0.6711	
19	160000	180000	0	0	11166	0		0.5583	
19	180000	200000	0	0	7002	0		0.3501	
19	200000	220000	0	0	13951	0		0.69755	
19	220000	240000	0	0	8189	0		0.40945	
19	240000	260000	0	0	13327	235		0.66635	0
19	260000	280000	0	0	12777	8133		0.63885	0
19	280000	300000	5351	73	7202	9597	0.0136423	0.3601	0.55757
19	300000	320000	5230	43	7668	7952	0.0082218	0.3834	0.657696
19	320000	340000	8126	70	11444	8249	0.00861432	0.5722	0.985089
19	340000	360000	7822	60	13417	8589	0.00767067	0.67085	0.9107
19	360000	380000	8522	100	7522	9932	0.0117343	0.3761	0.858035
19	380000	400000	4897	53	10959	7094	0.010823	0.54795	0.690302
19	400000	420000	7377	83	4027	10005	0.0112512	0.20135	0.737331
19	420000	440000	6779	61	5763	7440	0.00899838	0.28815	0.911156
19	440000	460000	1600	11	11378	7854	0.006875	0.5689	0.203718
19	460000	480000	3425	45	10089	7200	0.0131387	0.50445	0.475694
19	480000	500000	6871	80	10191	7858	0.0116431	0.50955	0.874396
19	500000	520000	6091	65	10583	6743	0.0106715	0.52915	0.903307
19	520000	540000	7842	108	7240	8178	0.013772	0.362	0.958914
19	540000	560000	5149	36	10234	7291	0.00699165	0.5117	0.706213
19	560000	580000	6306	59	11008	7449	0.00935617	0.5504	0.846557
19	580000	600000	9710	103	4124	9997	0.0106076	0.2062	0.971291
19	600000	620000	3723	48	6000	6194	0.0128928	0.3	0.601066
19	620000	640000	6389	67	8241	7441	0.0104868	0.41205	0.858621
