chrom	start	end	anc_valid_bp	hum_sub	repeat_bp	mask_bp	sub_rate	repeat_frac	anc_cov
17	0	100000	43470	366	40788	49658	0.0084196	0.40788	0.875388
17	100000	200000	37926	422	39108	49413	0.0111269	0.39108	0.767531
17	200000	300000	34164	400	54700	40657	0.0117082	0.547	0.840298
17	300000	400000	441	4	1629	1419	0.00907029	0.01629	0.310782
17	400000	500000	34776	286	44474	38658	0.00822406	0.44474	0.899581
17	500000	600000	41550	295	50346	42165	0.00709988	0.50346	0.985414
17	600000	700000	42555	366	43259	45124	0.00860063	0.43259	0.943068
17	700000	800000	34458	271	45242	42352	0.00786465	0.45242	0.81361
17	800000	900000	36436	333	49663	38396	0.00913931	0.49663	0.948953
17	900000	1000000	42395	350	31242	51537	0.00825569	0.31242	0.822613
17	1000000	1100000	42256	433	42703	43374	0.0102471	0.42703	0.974224
17	1100000	1200000	32976	321	60819	34392	0.00973435	0.60819	0.958828
17	1200000	1300000	31001	293	56235	33837	0.00945131	0.56235	0.916186
17	1300000	1400000	33135	232	53950	35402	0.00700166	0.5395	0.935964
17	1400000	1500000	44875	347	41593	47429	0.00773259	0.41593	0.946151
17	1500000	1600000	38289	460	47049	41933	0.0120139	0.47049	0.913099
17	1600000	1700000	39895	259	44830	42448	0.00649204	0.4483	0.939856
17	1700000	1800000	24130	168	62275	38999	0.00696229	0.62275	0.618734
17	1800000	1900000	45702	337	46073	49092	0.00737386	0.46073	0.930946
17	1900000	2000000	52795	300	29308	54030	0.00568236	0.29308	0.977142
17	2000000	2100000	46131	221	50874	47412	0.0047907	0.50874	0.972982
17	2100000	2200000	47395	313	53048	48298	0.00660407	0.53048	0.981304
17	2200000	2300000	48503	325	35294	49102	0.00670062	0.35294	0.987801
17	2300000	2400000	42329	315	56855	42864	0.00744171	0.56855	0.987519
17	2400000	2500000	29335	262	71446	30512	0.00893131	0.71446	0.961425
17	2500000	2600000	35879	194	57567	37440	0.00540706	0.57567	0.958307
17	2600000	2700000	33845	260	53635	43569	0.00768208	0.53635	0.776814
17	2700000	2800000	41884	346	59398	45339	0.00826091	0.59398	0.923796
17	2800000	2900000	47872	411	53451	49692	0.00858539	0.53451	0.963374
17	2900000	3000000	26534	222	56049	33763	0.00836662	0.56049	0.78589
17	3000000	3100000	16286	110	71865	38728	0.00675427	0.71865	0.420523
17	3100000	3200000	29558	282	62493	30645	0.00954056	0.62493	0.964529
17	3200000	3300000	32467	257	69309	33245	0.00791573	0.69309	0.976598
17	3300000	3400000	22607	189	60213	45991	0.00836024	0.60213	0.491553
17	3400000	3500000	32356	221	48995	49318	0.00683026	0.48995	0.656069
17	3500000	3600000	45080	389	41280	46726	0.0086291	0.4128	0.964773
17	3600000	3700000	41505	281	57729	42445	0.00677027	0.57729	0.977854
17	3700000	3800000	51189	331	46383	54435	0.00646623	0.46383	0.940369
17	3800000	3900000	48775	401	42823	50623	0.00822142	0.42823	0.963495
17	3900000	4000000	54909	377	44861	55906	0.00686591	0.44861	0.982166
17	4000000	4100000	46488	303	43125	50832	0.00651781	0.43125	0.914542
17	4100000	4200000	45104	278	48033	47201	0.00616353	0.48033	0.955573
17	4200000	4300000	37204	180	60910	39093	0.00483819	0.6091	0.951679
17	4300000	4400000	32800	215	62404	41796	0.00655488	0.62404	0.784764
17	4400000	4500000	57829	470	30538	62253	0.00812741	0.30538	0.928935
17	4500000	4600000	38776	264	55412	41342	0.00680834	0.55412	0.937932
17	4600000	4700000	35491	234	59162	39633	0.00659322	0.59162	0.895491
17	4700000	4800000	42046	196	44886	45838	0.00466156	0.44886	0.917274
17	4800000	4900000	42229	210	40990	45186	0.00497289	0.4099	0.934559
17	4900000	5000000	38903	212	53072	40964	0.00544945	0.53072	0.949688
17	5000000	5100000	17187	131	41688	17806	0.00762204	0.41688	0.965236
17	5100000	5200000	32446	177	73788	33337	0.00545522	0.73788	0.973273
17	5200000	5300000	44941	188	57829	46870	0.00418326	0.57829	0.958844
17	5300000	5400000	49035	270	46108	49677	0.00550627	0.46108	0.987077
17	5400000	5500000	41839	251	61386	47968	0.00599919	0.61386	0.872227
17	5500000	5600000	57903	335	52104	61979	0.00578554	0.52104	0.934236
17	5600000	5700000	53246	407	55649	54898	0.00764377	0.55649	0.969908
17	5700000	5800000	50640	354	61894	54804	0.00699052	0.61894	0.92402
17	5800000	5900000	54067	337	59127	56473	0.00623301	0.59127	0.957396
17	5900000	6000000	61376	467	47487	62599	0.00760884	0.47487	0.980463
17	6000000	6100000	58565	480	47374	60135	0.00819602	0.47374	0.973892
17	6100000	6200000	49160	391	58882	55494	0.00795362	0.58882	0.885862
17	6200000	6300000	56202	437	53464	57638	0.00777552	0.53464	0.975086
17	6300000	6400000	55804	410	46139	59636	0.00734714	0.46139	0.935744
17	6400000	6500000	57945	369	44421	59567	0.00636811	0.44421	0.97277
17	6500000	6600000	58091	368	42699	58908	0.00633489	0.42699	0.986131
17	6600000	6700000	40526	309	60983	45387	0.00762473	0.60983	0.892899
17	6700000	6800000	38660	257	69397	39875	0.0066477	0.69397	0.96953
17	6800000	6900000	40723	308	75664	42315	0.00756329	0.75664	0.962377
17	6900000	7000000	31036	137	47606	48580	0.00441423	0.47606	0.638864
17	7000000	7100000	38316	188	61107	42033	0.00490657	0.61107	0.911569
17	7100000	7200000	45471	223	33831	47633	0.00490422	0.33831	0.954611
17	7200000	7300000	23029	84	43320	43787	0.00364757	0.4332	0.525932
17	7300000	7400000	46231	223	37120	49143	0.0048236	0.3712	0.940744
17	7400000	7500000	42437	212	47516	43438	0.00499564	0.47516	0.976956
17	7500000	7600000	31753	148	59641	33383	0.00466098	0.59641	0.951173
17	7600000	7700000	49695	222	44066	51197	0.00446725	0.44066	0.970662
17	7700000	7800000	53110	204	35115	53438	0.00384108	0.35115	0.993862
17	7800000	7900000	49406	216	48324	49768	0.00437194	0.48324	0.992726
17	7900000	8000000	52567	308	46016	54262	0.00585919	0.46016	0.968763
17	8000000	8100000	45055	243	42926	46872	0.00539341	0.42926	0.961235
17	8100000	8200000	39518	228	48951	45369	0.00576952	0.48951	0.871035
17	8200000	8300000	41698	243	57124	42804	0.00582762	0.57124	0.974161
17	8300000	8400000	55941	312	41185	56628	0.0055773	0.41185	0.987868
17	8400000	8500000	62384	341	35997	63110	0.00546615	0.35997	0.988496
17	8500000	8600000	50899	234	58497	52031	0.00459734	0.58497	0.978244
17	8600000	8700000	50023	306	56960	51194	0.00611719	0.5696	0.977126
17	8700000	8800000	54933	389	49103	55994	0.00708135	0.49103	0.981052
17	8800000	8900000	53319	343	61040	54405	0.00643298	0.6104	0.980039
